i	E(i)	g[i]
4	-504.000000	5.000000	9020
6	-500.000000	0.000000	9015
8	-496.000000	136.000000	9151
10	-492.000000	268.000000	9283
12	-488.000000	342.000000	9357
14	-484.000000	294.000000	9309
16	-480.000000	409.000000	9424
18	-476.000000	487.000000	9502
20	-472.000000	499.000000	9514
22	-468.000000	533.000000	9548
24	-464.000000	555.000000	9570
26	-460.000000	562.000000	9577
28	-456.000000	582.000000	9597
30	-452.000000	634.000000	9649
32	-448.000000	663.000000	9678
34	-444.000000	650.000000	9665
36	-440.000000	703.000000	9718
38	-436.000000	702.000000	9717
40	-432.000000	718.000000	9733
42	-428.000000	762.000000	9777
44	-424.000000	773.000000	9788
46	-420.000000	784.000000	9799
48	-416.000000	806.000000	9821
50	-412.000000	886.000000	9901
52	-408.000000	961.000000	9976
54	-404.000000	1013.000000	10028
56	-400.000000	1056.000000	10071
58	-396.000000	1093.000000	10108
60	-392.000000	1101.000000	10116
62	-388.000000	1116.000000	10131
64	-384.000000	1129.000000	10144
66	-380.000000	1158.000000	10173
68	-376.000000	616.000000	9631
70	-372.000000	660.000000	9675
72	-368.000000	723.500000	9738
74	-364.000000	785.500000	9800
76	-360.000000	839.000000	9854
78	-356.000000	838.000000	9853
80	-352.000000	881.000000	9896
82	-348.000000	885.500000	9900
84	-344.000000	935.000000	9950
86	-340.000000	931.000000	9946
88	-336.000000	943.000000	9958
90	-332.000000	960.000000	9975
92	-328.000000	1016.000000	10031
94	-324.000000	1026.000000	10041
96	-320.000000	1022.000000	10037
98	-316.000000	1037.500000	10052
100	-312.000000	1054.500000	10069
102	-308.000000	1083.000000	10098
104	-304.000000	1095.000000	10110
106	-300.000000	1114.500000	10129
108	-296.000000	1121.000000	10136
110	-292.000000	1136.000000	10151
112	-288.000000	1134.000000	10149
114	-284.000000	1138.500000	10153
116	-280.000000	1144.000000	10159
118	-276.000000	1150.500000	10165
120	-272.000000	1166.500000	10181
122	-268.000000	1179.000000	10194
124	-264.000000	1180.500000	10195
126	-260.000000	1185.500000	10200
128	-256.000000	1194.000000	10209
130	-252.000000	1207.500000	10222
132	-248.000000	1252.500000	10267
134	-244.000000	1260.000000	10275
136	-240.000000	1282.000000	10297
138	-236.000000	1288.500000	10303
140	-232.000000	1295.000000	10310
142	-228.000000	1297.500000	10312
144	-224.000000	1309.000000	10324
146	-220.000000	1314.500000	10329
148	-216.000000	1325.500000	10340
150	-212.000000	1334.000000	10349
152	-208.000000	1359.000000	10374
154	-204.000000	1360.000000	10375
156	-200.000000	1365.500000	10380
158	-196.000000	1376.500000	10391
160	-192.000000	1383.500000	10398
162	-188.000000	1386.000000	10401
164	-184.000000	1400.000000	10415
166	-180.000000	1398.500000	10413
168	-176.000000	1401.500000	10416
170	-172.000000	1414.000000	10429
172	-168.000000	1422.000000	10437
