i	E(i)	g[i]
6	-2036.000000	0.512573
8	-2032.000000	5.891073
10	-2028.000000	0.870094
12	-2024.000000	5.232672
14	-2020.000000	7.389123
16	-2016.000000	7.996260
18	-2012.000000	10.549053
20	-2008.000000	13.779946
22	-2004.000000	16.286112
24	-2000.000000	17.310813
26	-1996.000000	19.990156
28	-1992.000000	22.831431
30	-1988.000000	24.006967
32	-1984.000000	26.751595
34	-1980.000000	29.273096
36	-1976.000000	30.753833
38	-1972.000000	33.263371
40	-1968.000000	35.814252
42	-1964.000000	37.302050
44	-1960.000000	39.821280
46	-1956.000000	42.269594
48	-1952.000000	43.904329
50	-1948.000000	46.325531
52	-1944.000000	48.748603
54	-1940.000000	51.133630
56	-1936.000000	52.784269
58	-1932.000000	55.121151
60	-1928.000000	57.479313
62	-1924.000000	59.088613
64	-1920.000000	61.405175
66	-1916.000000	63.708083
68	-1912.000000	65.313496
70	-1908.000000	67.612894
72	-1904.000000	69.877943
74	-1900.000000	71.513457
76	-1896.000000	73.760757
78	-1892.000000	76.017926
80	-1888.000000	77.681498
82	-1884.000000	79.917246
84	-1880.000000	82.114388
86	-1876.000000	84.320500
88	-1872.000000	86.001584
90	-1868.000000	88.189593
92	-1864.000000	90.358688
94	-1860.000000	92.062442
96	-1856.000000	94.214023
98	-1852.000000	96.372298
100	-1848.000000	98.060123
102	-1844.000000	100.200967
104	-1840.000000	102.323652
106	-1836.000000	104.440620
108	-1832.000000	106.554234
110	-1828.000000	108.651638
112	-1824.000000	110.749078
114	-1820.000000	112.840908
116	-1816.000000	114.922012
118	-1812.000000	117.000169
120	-1808.000000	119.059703
122	-1804.000000	121.124688
124	-1800.000000	123.177297
126	-1796.000000	125.228308
128	-1792.000000	127.263517
130	-1788.000000	129.307441
132	-1784.000000	131.342569
134	-1780.000000	133.364760
136	-1776.000000	135.387477
138	-1772.000000	137.401413
140	-1768.000000	139.404025
142	-1764.000000	141.405346
144	-1760.000000	143.398480
146	-1756.000000	145.391223
148	-1752.000000	147.373786
150	-1748.000000	149.352808
152	-1744.000000	151.331206
154	-1740.000000	153.297657
