i	E(i)	g[i]
6	-116.000000	0.000000
8	-112.000000	0.000000
10	-108.000000	1.103455
12	-104.000000	5.503548
14	-100.000000	2.781006
16	-96.000000	7.205393
18	-92.000000	7.208919
20	-88.000000	6.949793
22	-84.000000	9.293559
24	-80.000000	12.120664
26	-76.000000	11.326793
28	-72.000000	14.494614
30	-68.000000	16.801785
32	-64.000000	15.021468
34	-60.000000	16.229279
36	-56.000000	19.744640
38	-52.000000	20.104653
40	-48.000000	22.434035
42	-44.000000	24.182371
44	-40.000000	23.776918
46	-36.000000	24.901641
48	-32.000000	27.383121
50	-28.000000	28.422859
52	-24.000000	30.187847
54	-20.000000	31.681798
56	-16.000000	32.880851
58	-12.000000	34.491543
60	-8.000000	35.897340
62	-4.000000	37.193143
64	0.000000	38.697421
66	4.000000	40.054970
68	8.000000	41.392244
70	12.000000	42.820261
72	16.000000	44.144843
74	20.000000	45.478912
76	24.000000	46.851022
78	28.000000	48.162980
80	32.000000	49.503304
82	36.000000	50.829861
84	40.000000	52.141875
86	44.000000	53.447227
88	48.000000	54.748721
90	52.000000	56.037510
92	56.000000	57.333367
94	60.000000	58.613440
96	64.000000	59.895832
98	68.000000	61.166958
100	72.000000	62.436445
102	76.000000	63.688315
104	80.000000	64.953527
106	84.000000	66.198674
108	88.000000	67.445304
110	92.000000	68.680233
112	96.000000	69.922520
114	100.000000	71.146301
116	104.000000	72.381500
118	108.000000	73.599066
120	112.000000	74.807292
122	116.000000	76.022808
124	120.000000	77.237092
126	124.000000	78.438414
128	128.000000	79.631420
130	132.000000	80.835375
132	136.000000	82.019563
134	140.000000	83.210725
136	144.000000	84.397551
138	148.000000	85.571540
140	152.000000	86.748599
142	156.000000	87.916801
144	160.000000	89.086887
146	164.000000	90.250612
148	168.000000	91.411109
150	172.000000	92.567053
152	176.000000	93.719403
154	180.000000	94.874424
156	184.000000	96.019594
158	188.000000	97.158345
160	192.000000	98.301313
162	196.000000	99.433528
164	200.000000	100.566822
166	204.000000	101.702035
168	208.000000	102.823128
170	212.000000	103.947892
172	216.000000	105.069613
174	220.000000	106.186267
176	224.000000	107.301056
178	228.000000	108.412470
180	232.000000	109.523325
182	236.000000	110.629698
184	240.000000	111.732289
186	244.000000	112.835665
188	248.000000	113.936812
190	252.000000	115.030632
192	256.000000	116.129297
194	260.000000	117.213480
196	264.000000	118.304282
198	268.000000	119.390578
200	272.000000	120.474052
202	276.000000	121.554013
204	280.000000	122.629926
206	284.000000	123.705833
208	288.000000	124.781866
210	292.000000	125.851116
212	296.000000	126.919935
214	300.000000	127.985436
216	304.000000	129.048294
218	308.000000	130.111420
220	312.000000	131.175141
222	316.000000	132.232967
224	320.000000	133.292679
226	324.000000	134.346425
228	328.000000	135.392983
230	332.000000	136.452443
232	336.000000	137.495050
234	340.000000	138.539334
236	344.000000	139.588973
238	348.000000	140.630583
240	352.000000	141.669435
242	356.000000	142.706874
244	360.000000	143.744900
246	364.000000	144.778628
