i	E(i)	g[i]
6	-116.000000	43.500000
8	-112.000000	40.500000
10	-108.000000	44.500000
12	-104.000000	43.500000
14	-100.000000	37.500000
16	-96.000000	43.500000
18	-92.000000	49.500000
20	-88.000000	59.500000
22	-84.000000	62.500000
24	-80.000000	68.500000
26	-76.000000	68.500000
28	-72.000000	22.250000
30	-68.000000	21.750000
32	-64.000000	22.250000
34	-60.000000	22.000000
36	-56.000000	22.750000
38	-52.000000	24.500000
40	-48.000000	25.250000
42	-44.000000	25.500000
44	-40.000000	26.500000
46	-36.000000	26.500000
48	-32.000000	26.250000
50	-28.000000	26.250000
52	-24.000000	27.500000
54	-20.000000	28.000000
56	-16.000000	27.750000
58	-12.000000	28.000000
60	-8.000000	29.250000
62	-4.000000	30.000000
64	0.000000	29.750000
66	4.000000	29.250000
68	8.000000	29.000000
70	12.000000	28.500000
72	16.000000	28.750000
74	20.000000	28.750000
76	24.000000	29.750000
78	28.000000	29.750000
80	32.000000	30.750000
82	36.000000	28.500000
84	40.000000	29.000000
86	44.000000	28.750000
88	48.000000	29.000000
90	52.000000	30.000000
92	56.000000	29.500000
94	60.000000	29.000000
96	64.000000	28.750000
98	68.000000	28.750000
100	72.000000	26.500000
102	76.000000	26.500000
104	80.000000	26.500000
106	84.000000	25.250000
108	88.000000	26.000000
110	92.000000	24.500000
112	96.000000	26.250000
114	100.000000	24.750000
116	104.000000	23.000000
118	108.000000	23.250000
120	112.000000	23.750000
122	116.000000	23.750000
124	120.000000	23.750000
126	124.000000	22.500000
128	128.000000	23.250000
130	132.000000	23.250000
132	136.000000	23.000000
134	140.000000	23.250000
136	144.000000	23.750000
138	148.000000	23.500000
140	152.000000	23.500000
142	156.000000	21.500000
144	160.000000	22.500000
146	164.000000	21.250000
148	168.000000	22.750000
150	172.000000	18.250000
152	176.000000	18.250000
154	180.000000	19.000000
156	184.000000	17.250000
158	188.000000	15.500000
160	192.000000	16.500000
162	196.000000	15.000000
164	200.000000	16.500000
166	204.000000	15.750000
168	208.000000	17.000000
170	212.000000	15.750000
172	216.000000	16.500000
174	220.000000	16.500000
176	224.000000	14.000000
178	228.000000	11.500000
180	232.000000	12.000000
182	236.000000	11.250000
184	240.000000	9.500000
186	244.000000	9.000000
188	248.000000	10.250000
190	252.000000	10.500000
192	256.000000	10.500000
194	260.000000	11.500000
196	264.000000	11.000000
198	268.000000	10.750000
200	272.000000	10.500000
202	276.000000	9.500000
204	280.000000	10.500000
206	284.000000	12.500000
208	288.000000	12.750000
210	292.000000	12.500000
212	296.000000	12.000000
214	300.000000	12.250000
216	304.000000	10.125000
218	308.000000	10.500000
220	312.000000	10.625000
222	316.000000	9.750000
224	320.000000	9.500000
226	324.000000	9.500000
228	328.000000	9.500000
230	332.000000	7.750000
232	336.000000	5.500000
234	340.000000	7.500000
236	344.000000	6.750000
238	348.000000	6.750000
240	352.000000	8.250000
242	356.000000	10.250000
244	360.000000	10.500000
246	364.000000	11.500000
248	368.000000	9.750000
250	372.000000	11.750000
252	376.000000	8.750000
254	380.000000	9.250000
256	384.000000	8.250000
258	388.000000	6.250000
260	392.000000	7.500000
262	396.000000	8.000000
264	400.000000	6.000000
266	404.000000	6.000000
268	408.000000	3.750000
270	412.000000	4.750000
272	416.000000	3.750000
274	420.000000	4.500000
276	424.000000	3.000000
278	428.000000	4.500000
280	432.000000	5.000000
282	436.000000	5.250000
284	440.000000	4.500000
286	444.000000	5.500000
288	448.000000	4.500000
290	452.000000	6.000000
292	456.000000	4.000000
294	460.000000	9.250000
296	464.000000	8.000000
298	468.000000	6.750000
300	472.000000	6.500000
302	476.000000	8.000000
304	480.000000	4.500000
306	484.000000	4.000000
308	488.000000	2.750000
310	492.000000	6.000000
312	496.000000	7.000000
314	500.000000	6.500000
316	504.000000	8.000000
318	508.000000	8.500000
320	512.000000	9.500000
322	516.000000	10.250000
