T	Ut	Ft	St	Ct
0.01000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.02000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.03000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.04000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.05000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.06000000	-2.00000000	-2.00000000	-0.00000000	0.00000000
0.07000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.08000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.09000000	-2.00000000	-2.00000000	-0.00000000	0.00000000
0.10000000	-2.00000000	-2.00000000	-0.00000000	0.00000000
0.11000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.12000000	-2.00000000	-2.00000000	-0.00000000	0.00000000
0.13000000	-2.00000000	-2.00000000	0.00000000	-0.00000000
0.14000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.15000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.16000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.17000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.18000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.19000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.20000000	-2.00000000	-2.00000000	0.00000000	0.00000000
0.21000000	-2.00000000	-2.00000000	0.00000000	0.00000001
0.22000000	-2.00000000	-2.00000000	0.00000000	0.00000002
0.23000000	-2.00000000	-2.00000000	0.00000000	0.00000003
0.24000000	-2.00000000	-2.00000000	0.00000000	0.00000006
0.25000000	-2.00000000	-2.00000000	0.00000001	0.00000011
0.26000000	-2.00000000	-2.00000000	0.00000001	0.00000019
0.27000000	-1.99999999	-2.00000000	0.00000002	0.00000032
0.28000000	-1.99999999	-2.00000000	0.00000004	0.00000050
0.29000000	-1.99999998	-2.00000000	0.00000006	0.00000076
0.30000000	-1.99999997	-2.00000000	0.00000009	0.00000112
0.31000000	-1.99999996	-2.00000000	0.00000014	0.00000162
0.32000000	-1.99999994	-2.00000000	0.00000020	0.00000227
0.33000000	-1.99999991	-2.00000001	0.00000028	0.00000312
0.34000000	-1.99999988	-2.00000001	0.00000039	0.00000420
0.35000000	-1.99999983	-2.00000001	0.00000053	0.00000555
0.36000000	-1.99999977	-2.00000002	0.00000071	0.00000721
0.37000000	-1.99999968	-2.00000003	0.00000093	0.00000921
0.38000000	-1.99999958	-2.00000004	0.00000121	0.00001161
0.39000000	-1.99999945	-2.00000005	0.00000154	0.00001444
0.40000000	-1.99999929	-2.00000007	0.00000195	0.00001774
0.41000000	-1.99999909	-2.00000009	0.00000243	0.00002154
0.42000000	-1.99999886	-2.00000012	0.00000300	0.00002590
0.43000000	-1.99999857	-2.00000015	0.00000367	0.00003084
0.44000000	-1.99999824	-2.00000019	0.00000444	0.00003639
0.45000000	-1.99999784	-2.00000024	0.00000533	0.00004258
0.46000000	-1.99999739	-2.00000030	0.00000634	0.00004944
0.47000000	-1.99999685	-2.00000037	0.00000748	0.00005698
0.48000000	-1.99999624	-2.00000045	0.00000877	0.00006524
0.49000000	-1.99999555	-2.00000055	0.00001020	0.00007421
0.50000000	-1.99999476	-2.00000066	0.00001180	0.00008392
0.51000000	-1.99999387	-2.00000078	0.00001356	0.00009437
0.52000000	-1.99999287	-2.00000093	0.00001550	0.00010557
0.53000000	-1.99999175	-2.00000109	0.00001762	0.00011752
0.54000000	-1.99999051	-2.00000128	0.00001994	0.00013020
0.55000000	-1.99998915	-2.00000149	0.00002245	0.00014363
0.56000000	-1.99998764	-2.00000173	0.00002516	0.00015779
0.57000000	-1.99998599	-2.00000200	0.00002809	0.00017268
0.58000000	-1.99998418	-2.00000229	0.00003122	0.00018827
0.59000000	-1.99998222	-2.00000262	0.00003458	0.00020455
0.60000000	-1.99998009	-2.00000298	0.00003816	0.00022151
0.61000000	-1.99997779	-2.00000339	0.00004196	0.00023913
0.62000000	-1.99997531	-2.00000382	0.00004600	0.00025738
0.63000000	-1.99997264	-2.00000431	0.00005027	0.00027625
0.64000000	-1.99996978	-2.00000483	0.00005477	0.00029571
0.65000000	-1.99996672	-2.00000540	0.00005951	0.00031574
0.66000000	-1.99996346	-2.00000602	0.00006449	0.00033632
0.67000000	-1.99995999	-2.00000669	0.00006970	0.00035741
0.68000000	-1.99995631	-2.00000742	0.00007515	0.00037900
0.69000000	-1.99995241	-2.00000820	0.00008085	0.00040105
0.70000000	-1.99994829	-2.00000903	0.00008678	0.00042355
0.71000000	-1.99994394	-2.00000993	0.00009295	0.00044646
0.72000000	-1.99993936	-2.00001089	0.00009936	0.00046976
0.73000000	-1.99993454	-2.00001192	0.00010600	0.00049343
0.74000000	-1.99992949	-2.00001301	0.00011287	0.00051743
0.75000000	-1.99992419	-2.00001418	0.00011998	0.00054175
0.76000000	-1.99991865	-2.00001542	0.00012732	0.00056636
0.77000000	-1.99991286	-2.00001673	0.00013488	0.00059122
0.78000000	-1.99990683	-2.00001811	0.00014267	0.00061634
0.79000000	-1.99990054	-2.00001958	0.00015069	0.00064166
0.80000000	-1.99989399	-2.00002113	0.00015892	0.00066719
0.81000000	-1.99988719	-2.00002276	0.00016737	0.00069288
0.82000000	-1.99988014	-2.00002448	0.00017603	0.00071873
0.83000000	-1.99987282	-2.00002628	0.00018489	0.00074472
0.84000000	-1.99986524	-2.00002817	0.00019397	0.00077081
0.85000000	-1.99985740	-2.00003016	0.00020325	0.00079701
0.86000000	-1.99984930	-2.00003224	0.00021272	0.00082327
0.87000000	-1.99984094	-2.00003442	0.00022239	0.00084960
0.88000000	-1.99983231	-2.00003669	0.00023225	0.00087597
0.89000000	-1.99982342	-2.00003906	0.00024230	0.00090237
0.90000000	-1.99981426	-2.00004154	0.00025253	0.00092879
