T	Ut	Ft	St	Ct
0.0100	-1.9922	-2.5978	60.5657	0.0000
0.0200	-1.9922	-3.2035	60.5657	0.0000
0.0300	-1.9922	-3.8092	60.5657	0.0000
0.0400	-1.9922	-4.4148	60.5657	0.0000
0.0500	-1.9922	-5.0205	60.5657	0.0000
0.0600	-1.9922	-5.6261	60.5657	0.0000
0.0700	-1.9922	-6.2318	60.5657	0.0000
0.0800	-1.9922	-6.8374	60.5657	0.0000
0.0900	-1.9922	-7.4431	60.5657	0.0000
0.1000	-1.9922	-8.0488	60.5657	0.0000
0.1100	-1.9922	-8.6544	60.5657	0.0000
0.1200	-1.9922	-9.2601	60.5657	0.0000
0.1300	-1.9922	-9.8657	60.5657	0.0000
0.1400	-1.9922	-10.4714	60.5657	0.0000
0.1500	-1.9922	-11.0770	60.5657	0.0000
0.1600	-1.9922	-11.6827	60.5657	0.0000
0.1700	-1.9922	-12.2883	60.5657	0.0000
0.1800	-1.9922	-12.8940	60.5657	0.0000
0.1900	-1.9922	-13.4997	60.5657	0.0000
0.2000	-1.9922	-14.1053	60.5657	0.0000
0.2100	-1.9922	-14.7110	60.5657	0.0000
0.2200	-1.9922	-15.3166	60.5657	0.0000
0.2300	-1.9922	-15.9223	60.5657	0.0000
0.2400	-1.9922	-16.5279	60.5657	0.0000
0.2500	-1.9922	-17.1336	60.5657	0.0000
0.2600	-1.9922	-17.7393	60.5657	0.0000
0.2700	-1.9922	-18.3449	60.5657	0.0000
0.2800	-1.9922	-18.9506	60.5657	0.0000
0.2900	-1.9922	-19.5562	60.5657	0.0000
0.3000	-1.9922	-20.1619	60.5657	0.0000
0.3100	-1.9922	-20.7675	60.5657	0.0000
0.3200	-1.9922	-21.3732	60.5657	0.0000
0.3300	-1.9922	-21.9789	60.5657	0.0000
0.3400	-1.9922	-22.5845	60.5657	0.0000
0.3500	-1.9922	-23.1902	60.5657	0.0000
0.3600	-1.9922	-23.7958	60.5657	0.0000
0.3700	-1.9922	-24.4015	60.5657	0.0000
0.3800	-1.9922	-25.0071	60.5657	0.0000
0.3900	-1.9922	-25.6128	60.5657	0.0000
0.4000	-1.9922	-26.2185	60.5657	0.0000
0.4100	-1.9922	-26.8241	60.5657	0.0000
0.4200	-1.9922	-27.4298	60.5657	0.0000
0.4300	-1.9922	-28.0354	60.5657	0.0000
0.4400	-1.9922	-28.6411	60.5657	0.0000
0.4500	-1.9922	-29.2467	60.5657	0.0000
0.4600	-1.9922	-29.8524	60.5657	0.0000
0.4700	-1.9922	-30.4580	60.5657	0.0000
0.4800	-1.9922	-31.0637	60.5657	0.0000
0.4900	-1.9922	-31.6694	60.5657	0.0000
0.5000	-1.9922	-32.2750	60.5657	0.0000
0.5100	-1.9922	-32.8807	60.5657	0.0000
0.5200	-1.9922	-33.4863	60.5657	0.0000
0.5300	-1.9922	-34.0920	60.5657	0.0000
0.5400	-1.9922	-34.6976	60.5657	0.0001
0.5500	-1.9922	-35.3033	60.5657	0.0001
0.5600	-1.9922	-35.9090	60.5657	0.0001
0.5700	-1.9922	-36.5146	60.5657	0.0001
0.5800	-1.9922	-37.1203	60.5657	0.0001
0.5900	-1.9922	-37.7259	60.5657	0.0001
0.6000	-1.9922	-38.3316	60.5657	0.0002
0.6100	-1.9922	-38.9372	60.5657	0.0002
0.6200	-1.9922	-39.5429	60.5657	0.0002
0.6300	-1.9922	-40.1486	60.5657	0.0002
0.6400	-1.9922	-40.7542	60.5657	0.0003
0.6500	-1.9922	-41.3599	60.5657	0.0003
0.6600	-1.9922	-41.9655	60.5657	0.0004
0.6700	-1.9922	-42.5712	60.5657	0.0004
0.6800	-1.9922	-43.1768	60.5657	0.0005
0.6900	-1.9921	-43.7825	60.5657	0.0006
0.7000	-1.9921	-44.3882	60.5657	0.0006
0.7100	-1.9921	-44.9938	60.5657	0.0007
0.7200	-1.9921	-45.5995	60.5658	0.0008
0.7300	-1.9921	-46.2051	60.5658	0.0009
0.7400	-1.9921	-46.8108	60.5658	0.0011
0.7500	-1.9921	-47.4164	60.5658	0.0012
0.7600	-1.9921	-48.0221	60.5658	0.0013
0.7700	-1.9921	-48.6278	60.5658	0.0015
0.7800	-1.9921	-49.2334	60.5658	0.0017
0.7900	-1.9920	-49.8391	60.5659	0.0018
0.8000	-1.9920	-50.4447	60.5659	0.0020
0.8100	-1.9920	-51.0504	60.5659	0.0023
0.8200	-1.9920	-51.6561	60.5659	0.0025
0.8300	-1.9919	-52.2617	60.5660	0.0028
0.8400	-1.9919	-52.8674	60.5660	0.0031
0.8500	-1.9919	-53.4730	60.5661	0.0034
0.8600	-1.9919	-54.0787	60.5661	0.0038
0.8700	-1.9918	-54.6844	60.5661	0.0041
0.8800	-1.9918	-55.2900	60.5662	0.0045
0.8900	-1.9917	-55.8957	60.5662	0.0050
0.9000	-1.9917	-56.5013	60.5663	0.0055
0.9100	-1.9916	-57.1070	60.5664	0.0060
0.9200	-1.9915	-57.7127	60.5664	0.0066
0.9300	-1.9915	-58.3183	60.5665	0.0072
0.9400	-1.9914	-58.9240	60.5666	0.0079
0.9500	-1.9913	-59.5297	60.5667	0.0086
0.9600	-1.9912	-60.1353	60.5668	0.0093
0.9700	-1.9911	-60.7410	60.5669	0.0102
0.9800	-1.9910	-61.3467	60.5670	0.0110
0.9900	-1.9909	-61.9523	60.5671	0.0120
1.0000	-1.9908	-62.5580	60.5672	0.0130
1.0100	-1.9907	-63.1637	60.5674	0.0141
1.0200	-1.9905	-63.7694	60.5675	0.0152
1.0300	-1.9903	-64.3750	60.5677	0.0164
1.0400	-1.9902	-64.9807	60.5678	0.0177
1.0500	-1.9900	-65.5864	60.5680	0.0191
1.0600	-1.9898	-66.1921	60.5682	0.0205
1.0700	-1.9896	-66.7978	60.5684	0.0220
1.0800	-1.9894	-67.4034	60.5686	0.0235
1.0900	-1.9891	-68.0091	60.5688	0.0251
1.1000	-1.9889	-68.6148	60.5691	0.0268
1.1100	-1.9886	-69.2205	60.5693	0.0285
1.1200	-1.9883	-69.8262	60.5696	0.0303
1.1300	-1.9880	-70.4319	60.5698	0.0321
1.1400	-1.9876	-71.0376	60.5701	0.0339
1.1500	-1.9873	-71.6433	60.5704	0.0358
1.1600	-1.9869	-72.2490	60.5708	0.0377
1.1700	-1.9865	-72.8547	60.5711	0.0396
1.1800	-1.9861	-73.4604	60.5714	0.0416
1.1900	-1.9857	-74.0661	60.5718	0.0435
1.2000	-1.9853	-74.6719	60.5722	0.0455
1.2100	-1.9848	-75.2776	60.5726	0.0475
1.2200	-1.9843	-75.8833	60.5730	0.0494
1.2300	-1.9838	-76.4890	60.5734	0.0514
1.2400	-1.9833	-77.0948	60.5738	0.0533
1.2500	-1.9827	-77.7005	60.5742	0.0552
1.2600	-1.9822	-78.3063	60.5747	0.0571
1.2700	-1.9816	-78.9120	60.5751	0.0590
1.2800	-1.9810	-79.5178	60.5756	0.0608
1.2900	-1.9804	-80.1235	60.5761	0.0627
1.3000	-1.9797	-80.7293	60.5766	0.0644
1.3100	-1.9791	-81.3351	60.5771	0.0662
1.3200	-1.9784	-81.9408	60.5776	0.0678
1.3300	-1.9777	-82.5466	60.5781	0.0694
1.3400	-1.9770	-83.1524	60.5786	0.0709
1.3500	-1.9763	-83.7582	60.5792	0.0722
1.3600	-1.9756	-84.3640	60.5797	0.0735
1.3700	-1.9749	-84.9698	60.5802	0.0746
1.3800	-1.9741	-85.5756	60.5808	0.0756
1.3900	-1.9733	-86.1814	60.5813	0.0763
1.4000	-1.9726	-86.7872	60.5819	0.0769
1.4100	-1.9718	-87.3930	60.5824	0.0773
1.4200	-1.9710	-87.9989	60.5830	0.0775
1.4300	-1.9703	-88.6047	60.5835	0.0775
1.4400	-1.9695	-89.2105	60.5841	0.0772
1.4500	-1.9687	-89.8164	60.5846	0.0768
1.4600	-1.9679	-90.4222	60.5851	0.0761
1.4700	-1.9672	-91.0281	60.5856	0.0752
1.4800	-1.9664	-91.6339	60.5861	0.0741
1.4900	-1.9657	-92.2398	60.5866	0.0728
1.5000	-1.9650	-92.8457	60.5871	0.0714
1.5100	-1.9643	-93.4515	60.5876	0.0698
1.5200	-1.9636	-94.0574	60.5880	0.0681
1.5300	-1.9629	-94.6633	60.5885	0.0663
1.5400	-1.9623	-95.2692	60.5889	0.0644
1.5500	-1.9616	-95.8751	60.5893	0.0624
1.5600	-1.9610	-96.4810	60.5897	0.0604
1.5700	-1.9604	-97.0869	60.5901	0.0584
1.5800	-1.9598	-97.6928	60.5905	0.0564
1.5900	-1.9593	-98.2987	60.5908	0.0545
1.6000	-1.9588	-98.9046	60.5911	0.0526
1.6100	-1.9582	-99.5105	60.5915	0.0507
1.6200	-1.9577	-100.1164	60.5918	0.0490
1.6300	-1.9573	-100.7223	60.5921	0.0473
1.6400	-1.9568	-101.3283	60.5924	0.0458
1.6500	-1.9563	-101.9342	60.5926	0.0444
1.6600	-1.9559	-102.5401	60.5929	0.0431
1.6700	-1.9555	-103.1460	60.5932	0.0421
1.6800	-1.9551	-103.7520	60.5934	0.0412
1.6900	-1.9547	-104.3579	60.5936	0.0406
1.7000	-1.9543	-104.9639	60.5939	0.0402
1.7100	-1.9539	-105.5698	60.5941	0.0402
1.7200	-1.9535	-106.1757	60.5944	0.0405
1.7300	-1.9530	-106.7817	60.5946	0.0412
1.7400	-1.9526	-107.3876	60.5948	0.0424
1.7500	-1.9522	-107.9936	60.5951	0.0441
1.7600	-1.9517	-108.5995	60.5953	0.0466
1.7700	-1.9513	-109.2055	60.5956	0.0499
1.7800	-1.9507	-109.8114	60.5959	0.0544
1.7900	-1.9502	-110.4174	60.5962	0.0601
1.8000	-1.9495	-111.0234	60.5966	0.0677
1.8100	-1.9488	-111.6293	60.5970	0.0775
1.8200	-1.9480	-112.2353	60.5974	0.0903
1.8300	-1.9470	-112.8413	60.5980	0.1073
1.8400	-1.9458	-113.4473	60.5986	0.1298
1.8500	-1.9444	-114.0533	60.5994	0.1601
1.8600	-1.9426	-114.6593	60.6004	0.2014
1.8700	-1.9403	-115.2653	60.6016	0.2580
1.8800	-1.9373	-115.8713	60.6032	0.3362
1.8900	-1.9335	-116.4773	60.6052	0.4441
1.9000	-1.9283	-117.0834	60.6079	0.5917
1.9100	-1.9215	-117.6895	60.6115	0.7890
1.9200	-1.9124	-118.2956	60.6163	1.0422
1.9300	-1.9005	-118.9018	60.6225	1.3455
1.9400	-1.8854	-119.5081	60.6303	1.6722
1.9500	-1.8671	-120.1144	60.6397	1.9703
1.9600	-1.8463	-120.7209	60.6503	2.1748
1.9700	-1.8241	-121.3274	60.6616	2.2367
1.9800	-1.8020	-121.9341	60.6728	2.1521
1.9900	-1.7814	-122.5409	60.6832	1.9633
2.0000	-1.7629	-123.1478	60.6924	1.7319
2.0100	-1.7467	-123.7547	60.7005	1.5098
2.0200	-1.7326	-124.3618	60.7075	1.3261
2.0300	-1.7200	-124.9689	60.7137	1.1891
2.0400	-1.7087	-125.5760	60.7193	1.0956
2.0500	-1.6980	-126.1833	60.7245	1.0374
2.0600	-1.6878	-126.7905	60.7295	1.0061
2.0700	-1.6778	-127.3979	60.7343	0.9943
2.0800	-1.6679	-128.0052	60.7391	0.9965
2.0900	-1.6579	-128.6126	60.7439	1.0088
2.1000	-1.6477	-129.2201	60.7488	1.0285
2.1100	-1.6373	-129.8276	60.7537	1.0538
2.1200	-1.6266	-130.4352	60.7588	1.0836
2.1300	-1.6156	-131.0428	60.7639	1.1174
2.1400	-1.6042	-131.6505	60.7693	1.1548
2.1500	-1.5925	-132.2582	60.7747	1.1958
2.1600	-1.5803	-132.8660	60.7804	1.2403
2.1700	-1.5677	-133.4738	60.7862	1.2886
2.1800	-1.5545	-134.0817	60.7923	1.3404
2.1900	-1.5408	-134.6896	60.7985	1.3957
2.2000	-1.5266	-135.2977	60.8050	1.4541
2.2100	-1.5118	-135.9057	60.8118	1.5147
2.2200	-1.4963	-136.5139	60.8187	1.5764
2.2300	-1.4802	-137.1221	60.8260	1.6376
2.2400	-1.4636	-137.7304	60.8334	1.6962
2.2500	-1.4463	-138.3388	60.8411	1.7496
2.2600	-1.4286	-138.9472	60.8490	1.7950
2.2700	-1.4105	-139.5558	60.8570	1.8296
2.2800	-1.3920	-140.1644	60.8651	1.8508
2.2900	-1.3735	-140.7731	60.8732	1.8568
2.3000	-1.3550	-141.3818	60.8812	1.8467
2.3100	-1.3366	-141.9907	60.8892	1.8210
2.3200	-1.3186	-142.5996	60.8970	1.7813
2.3300	-1.3010	-143.2086	60.9045	1.7300
2.3400	-1.2840	-143.8177	60.9118	1.6704
2.3500	-1.2676	-144.4269	60.9188	1.6056
2.3600	-1.2519	-145.0361	60.9255	1.5385
2.3700	-1.2369	-145.6454	60.9319	1.4717
2.3800	-1.2225	-146.2547	60.9379	1.4070
2.3900	-1.2087	-146.8641	60.9437	1.3455
2.4000	-1.1955	-147.4736	60.9492	1.2880
2.4100	-1.1829	-148.0831	60.9544	1.2346
2.4200	-1.1708	-148.6927	60.9594	1.1854
2.4300	-1.1592	-149.3023	60.9642	1.1401
2.4400	-1.1480	-149.9120	60.9688	1.0984
2.4500	-1.1372	-150.5217	60.9732	1.0600
2.4600	-1.1268	-151.1314	60.9775	1.0245
2.4700	-1.1167	-151.7412	60.9816	0.9917
2.4800	-1.1070	-152.3511	60.9855	0.9614
2.4900	-1.0975	-152.9609	60.9893	0.9332
2.5000	-1.0883	-153.5708	60.9930	0.9071
2.5100	-1.0794	-154.1808	60.9966	0.8828
2.5200	-1.0706	-154.7908	61.0001	0.8603
2.5300	-1.0621	-155.4008	61.0034	0.8395
2.5400	-1.0538	-156.0108	61.0067	0.8201
2.5500	-1.0457	-156.6209	61.0099	0.8021
2.5600	-1.0378	-157.2310	61.0130	0.7854
2.5700	-1.0300	-157.8412	61.0160	0.7698
2.5800	-1.0224	-158.4514	61.0190	0.7553
2.5900	-1.0149	-159.0616	61.0219	0.7417
2.6000	-1.0076	-159.6718	61.0247	0.7289
2.6100	-1.0003	-160.2821	61.0275	0.7169
2.6200	-0.9932	-160.8923	61.0302	0.7055
2.6300	-0.9862	-161.5027	61.0329	0.6946
2.6400	-0.9793	-162.1130	61.0355	0.6842
2.6500	-0.9725	-162.7234	61.0380	0.6742
2.6600	-0.9658	-163.3338	61.0406	0.6645
2.6700	-0.9592	-163.9442	61.0430	0.6550
2.6800	-0.9527	-164.5546	61.0455	0.6458
2.6900	-0.9463	-165.1651	61.0479	0.6368
2.7000	-0.9400	-165.7756	61.0502	0.6279
2.7100	-0.9338	-166.3861	61.0525	0.6191
2.7200	-0.9276	-166.9966	61.0548	0.6105
2.7300	-0.9216	-167.6072	61.0570	0.6020
2.7400	-0.9156	-168.2178	61.0592	0.5936
2.7500	-0.9097	-168.8284	61.0613	0.5853
2.7600	-0.9039	-169.4390	61.0634	0.5771
2.7700	-0.8981	-170.0496	61.0655	0.5691
2.7800	-0.8925	-170.6603	61.0676	0.5611
2.7900	-0.8869	-171.2710	61.0696	0.5533
2.8000	-0.8814	-171.8817	61.0715	0.5456
2.8100	-0.8760	-172.4924	61.0735	0.5380
2.8200	-0.8707	-173.1032	61.0754	0.5306
2.8300	-0.8654	-173.7139	61.0772	0.5233
2.8400	-0.8602	-174.3247	61.0791	0.5162
2.8500	-0.8551	-174.9355	61.0809	0.5092
2.8600	-0.8500	-175.5463	61.0826	0.5023
2.8700	-0.8450	-176.1572	61.0844	0.4956
2.8800	-0.8401	-176.7680	61.0861	0.4890
2.8900	-0.8352	-177.3789	61.0878	0.4826
2.9000	-0.8305	-177.9898	61.0894	0.4763
2.9100	-0.8257	-178.6007	61.0910	0.4701
2.9200	-0.8210	-179.2116	61.0927	0.4641
2.9300	-0.8164	-179.8225	61.0942	0.4582
2.9400	-0.8119	-180.4335	61.0958	0.4524
2.9500	-0.8074	-181.0444	61.0973	0.4468
2.9600	-0.8030	-181.6554	61.0988	0.4413
2.9700	-0.7986	-182.2664	61.1003	0.4359
2.9800	-0.7942	-182.8774	61.1017	0.4307
2.9900	-0.7899	-183.4885	61.1032	0.4257
3.0000	-0.7857	-184.0995	61.1046	0.4207
3.0100	-0.7815	-184.7105	61.1060	0.4159
3.0200	-0.7774	-185.3216	61.1074	0.4113
3.0300	-0.7733	-185.9327	61.1087	0.4067
3.0400	-0.7693	-186.5438	61.1100	0.4023
3.0500	-0.7653	-187.1549	61.1114	0.3980
3.0600	-0.7613	-187.7660	61.1127	0.3939
3.0700	-0.7574	-188.3771	61.1139	0.3899
3.0800	-0.7535	-188.9883	61.1152	0.3859
3.0900	-0.7497	-189.5995	61.1164	0.3821
3.1000	-0.7459	-190.2106	61.1177	0.3784
3.1100	-0.7421	-190.8218	61.1189	0.3748
3.1200	-0.7384	-191.4330	61.1201	0.3713
3.1300	-0.7347	-192.0442	61.1213	0.3678
3.1400	-0.7310	-192.6554	61.1224	0.3645
3.1500	-0.7274	-193.2667	61.1236	0.3611
3.1600	-0.7238	-193.8779	61.1247	0.3579
3.1700	-0.7202	-194.4891	61.1258	0.3547
3.1800	-0.7167	-195.1004	61.1270	0.3515
3.1900	-0.7132	-195.7117	61.1281	0.3484
3.2000	-0.7097	-196.3230	61.1291	0.3453
3.2100	-0.7063	-196.9343	61.1302	0.3423
3.2200	-0.7029	-197.5456	61.1313	0.3393
3.2300	-0.6995	-198.1569	61.1323	0.3362
3.2400	-0.6962	-198.7682	61.1334	0.3332
3.2500	-0.6928	-199.3796	61.1344	0.3302
3.2600	-0.6895	-199.9909	61.1354	0.3272
3.2700	-0.6863	-200.6023	61.1364	0.3242
3.2800	-0.6831	-201.2136	61.1374	0.3213
3.2900	-0.6799	-201.8250	61.1383	0.3183
3.3000	-0.6767	-202.4364	61.1393	0.3153
3.3100	-0.6736	-203.0478	61.1403	0.3123
