T	Ut	Ft	St	Ct
0.01000000	-1.93750000	-83.00296875	8106.54687490	0.00000000
0.02000000	-1.93750000	-164.06843750	8106.54687490	0.00000000
0.03000000	-1.93750000	-245.13390625	8106.54687490	0.00000000
0.04000000	-1.93750000	-326.19937500	8106.54687490	0.00000000
0.05000000	-1.93750000	-407.26484375	8106.54687490	0.00000000
0.06000000	-1.93750000	-488.33031249	8106.54687490	0.00000000
0.07000000	-1.93750000	-569.39578124	8106.54687490	0.00000000
0.08000000	-1.93750000	-650.46124999	8106.54687490	0.00000000
0.09000000	-1.93750000	-731.52671874	8106.54687490	0.00000000
0.10000000	-1.93750000	-812.59218749	8106.54687490	0.00000000
0.11000000	-1.93750000	-893.65765624	8106.54687490	0.00000000
0.12000000	-1.93750000	-974.72312499	8106.54687490	0.00000000
0.13000000	-1.93750000	-1055.78859374	8106.54687490	0.00000000
0.14000000	-1.93750000	-1136.85406249	8106.54687490	0.00000000
0.15000000	-1.93750000	-1217.91953124	8106.54687490	0.00000000
0.16000000	-1.93750000	-1298.98499998	8106.54687490	0.00000000
0.17000000	-1.93750000	-1380.05046873	8106.54687490	0.00000000
0.18000000	-1.93750000	-1461.11593748	8106.54687490	0.00000001
0.19000000	-1.93750000	-1542.18140623	8106.54687490	0.00000004
0.20000000	-1.93750000	-1623.24687498	8106.54687491	0.00000010
0.21000000	-1.93750000	-1704.31234373	8106.54687492	0.00000022
0.22000000	-1.93749999	-1785.37781248	8106.54687493	0.00000048
0.23000000	-1.93749999	-1866.44328123	8106.54687496	0.00000098
0.24000000	-1.93749997	-1947.50874998	8106.54687502	0.00000185
0.25000000	-1.93749995	-2028.57421873	8106.54687512	0.00000333
0.26000000	-1.93749990	-2109.63968748	8106.54687530	0.00000569
0.27000000	-1.93749983	-2190.70515624	8106.54687558	0.00000933
0.28000000	-1.93749971	-2271.77062499	8106.54687601	0.00001473
0.29000000	-1.93749953	-2352.83609376	8106.54687665	0.00002248
0.30000000	-1.93749925	-2433.90156253	8106.54687758	0.00003327
0.31000000	-1.93749885	-2514.96703131	8106.54687890	0.00004793
0.32000000	-1.93749828	-2596.03250011	8106.54688072	0.00006740
0.33000000	-1.93749748	-2677.09796893	8106.54688316	0.00009284
0.34000000	-1.93749639	-2758.16343777	8106.54688641	0.00012658
